restaurant_id,name,restaurant_type,avg_rating,num_ratings,avg_cost_two,online_order,table_booking,cuisine_type,area,address,source,city,typical_delivery_time
14550,Homese Just Veg,,2.9,80,200.0,,,"South Indian,North Indian,Fast Food",Chickpet,K.G. Road,swiggy,Bangalore,52
14551,Lassi Shop,,3.1,50,100.0,,,"Juices,Ice Cream",Kachiguda,Kachiguda,swiggy,Hyderabad,31
14552,Chelaram Farsan,,4.4,100,100.0,,,Snacks  Sweets,Chembur,Chembur,swiggy,Mumbai,48
14553,Nini'S Kitchen,,4.4,100,1000.0,,,"North Indian,Italian,Lebanese,American,Mexican",University Area,Vastrapur,swiggy,Ahmedabad,39
14554,Kutchi Karnavati,,3.5,20,100.0,,,"Fast Food,Pizzas,Chinese,Snacks",Isanpur,Isanpur,swiggy,Ahmedabad,43
14555,Vijayalakshmi Veg,,4.3,100,100.0,,,"Chinese,South Indian,Fast Food",Kadugondanahalli,Nagavara Main Road,swiggy,Bangalore,56
14556,Kutchi King,,3.4,20,100.0,,,Fast Food,Parvat Patiya,Opp Dr World,swiggy,Surat,40
14557,Banchharam'S,,4.4,100,150.0,,,Sweets  Desserts,Tiretti,Burrabazar,swiggy,Kolkata,37
14558,Ashish Ii Restaurant,,4.5,20,400.0,,,"North Indian,Punjabi,Chinese",Udhna,Althan,swiggy,Surat,33
14559,Shri Chamunda Bhojnalaya & Kathiyawadi Dhaba & Punjabi,,4.0,100,300.0,,,"Combo,Thalis,North Indian,Gujarati,Punjabi,Pizzas,Beverages",Noble Nagar Tenament,Galaxy Complex Naroda,swiggy,Ahmedabad,83
14560,Hajoori'S Kulfi,,2.9,80,150.0,,,Desserts,Vesu,Vip Road Vesu,swiggy,Surat,51
14561,Milan Pure Veg Restaurant,,4.4,50,220.0,,,Indian,Ganj Peth,Bhavani Peth,swiggy,Pune,34
14562,Balaji Papalal Mithai Wala,,4.2,50,200.0,,,"Sweets,Desserts",Padmarao Nagar,Seethafalmandi,swiggy,Hyderabad,53
14563,M/S. Sukhsagar Hotel Gandhinagar,,4.2,50,200.0,,,North Indian,Gandhi Nagar,Gandhinagar,swiggy,Bangalore,46
14564,Sgf - Spice Grill Flame (Paschim Vihar),,3.7,100,250.0,,,"North Indian,Fast Food,Chinese",Paschim Vihar,Paschim Vihar,swiggy,Delhi,54
14565,Havmor - The Eatery.,,4.1,20,400.0,,,"Street Food,Desserts,Ice Cream,Beverages",Narol,Narol,swiggy,Ahmedabad,54
14566,Sendhoor Coffee,,4.3,1000,200.0,,,"South Indian,Indian,Beverages",Cambridge Layout,Indiranagar,swiggy,Bangalore,46
14567,Sindh Sahib,,4.5,100,200.0,,,Indian,West Marredpally,Lic Colony,swiggy,Hyderabad,78
14568,Jalaram Parotta House,,3.9,100,200.0,,,"North Indian,Gujarati",Ambawadi,Bopal,swiggy,Ahmedabad,37
14569,Surbhi Restaurant,,4.3,50,350.0,,,"North Indian,Chinese",Hatkeshwar,Sabarmati,swiggy,Ahmedabad,44
14570,Gajanand Pauva House,,4.5,100,200.0,,,"Street Food,Snacks",Vastrapur,Vastrapur,swiggy,Ahmedabad,38
14571,Thakkar'S- Hotel Jalaram Kathiyawadi,,4.1,100,200.0,,,"Punjabi,Chinese,South Indian,Fast Food",Singanpor,Nr D-Mart,swiggy,Surat,52
14572,La Patron Cafe,,3.8,100,600.0,,,"Mexican,Mediterranean,Fast Food,Chinese,Thai",Ellisbridge,C G Road,swiggy,Ahmedabad,35
14573,Om Sai Juice And Fast Food,,3.9,50,250.0,,,"Fast Food,Beverages",Kurla,Chembur,swiggy,Mumbai,38
14574,Punjabi Point,,4.1,20,250.0,,,North Indian,Vishala,Vasna,swiggy,Ahmedabad,45
14575,Vinayak Restaurant,,2.9,80,200.0,,,Chinese,Rohini,Rohini,swiggy,Delhi,48
14576,Munna Bhel Puri House,,3.9,100,99.0,,,Chaat,Andheri East,Kurla Road,swiggy,Mumbai,58
14577,Srushti Garden (Pure Veg),,3.8,50,300.0,,,Indian,Visharant Wadi,Vishrantwadi,swiggy,Pune,64
14578,4In Natural Fruit Juice,,4.0,50,250.0,,,Juices  Healthy Food,Yousufguda,Srinagar Colony,swiggy,Hyderabad,69
14579,Mr. Papdi,,4.2,50,400.0,,,"North Indian,Chaat,Street Food",T. Nagar,T Nagar,swiggy,Chennai,69
14580,Sri Sai Raghavendra Udupi Veg,,4.1,1000,100.0,,,"South Indian,Juices,Ice Cream",Dilsukhnagar,Krishnaveni Nagar,swiggy,Hyderabad,45
14581,Feastinn,,4.4,20,250.0,,,"North Indian,Chaat,Pizzas,Beverages",Kilpauk,Kilpauk,swiggy,Chennai,51
14582,Malleshwaram Dose Corner,,4.4,500,120.0,,,"South Indian,Snacks",Malleshwaram,Malleshwaram,swiggy,Bangalore,54
14583,Bhakshana By Paati Veedu,,4.5,100,600.0,,,"South Indian,Indian",T. Nagar,Paati Veedu T.Nagar,swiggy,Chennai,69
14584,Madras Dosa Center,,2.9,80,200.0,,,Fast Food,Athwa,City Light,swiggy,Surat,44
14585,Hot Chappathies,,4.1,1000,180.0,,,"North Indian,Chinese,Biryani,Chaat,Indian,Tandoor",Kodambakkam,Kodambakam,swiggy,Chennai,77
14586,Krazy For Chocolates-Kankurgachi,,4.4,100,300.0,,,Desserts  Bakery,Kankurgachi,Vip Market,swiggy,Kolkata,39
14587,Nic Natural Ice Creams,,4.6,100,120.0,,,Ice Cream  Desserts,Bandra East,Hsg Society,swiggy,Mumbai,37
14588,Urban Foods,,2.9,20,100.0,,,"North Indian,Punjabi,Chinese",Ellisbridge,Law Garden,swiggy,Ahmedabad,35
14589,Gurdass Man Dhaba,,3.9,100,300.0,,,Indian,Sector 15 Rohini,Rohini,swiggy,Delhi,49
14590,Radhakrishna Restaurant,,4.2,50,200.0,,,North Indian,Majura Gate,Majura Gate,swiggy,Surat,29
14591,Jashan Juice And Pizza One,,4.2,100,150.0,,,"Beverages,Juices",Feelkhana,Begum Bazaar,swiggy,Hyderabad,32
14592,Chettys Corner,,4.7,50,200.0,,,Fast Food,Bhowanipore,Justice Chandramahadeb Road Sreepally Bhowanipore,swiggy,Kolkata,64
14593,The Waffle Co.,,4.2,100,200.0,,,"Ice Cream,Desserts,Beverages",Sector 14 Rohini,Prashant Vihar,swiggy,Delhi,49
14594,Hira Mistan & Restaurant,,3.9,20,300.0,,,"Punjabi,Chinese,Fast Food,Sweets,North Indian,Combo",Salabatpura,Salabatpura,swiggy,Surat,29
14595,Dev Kitchen,,2.9,80,200.0,,,"North Indian,Chinese,Continental",Rohini,Sector-9 Rohini,swiggy,Delhi,50
